text,label
Congratulations! You've won a free ticket to the Bahamas. Click here to claim your prize.,1
"Hi John, I hope you're doing well. Just wanted to check in and see if you're available for a meeting next week.",0
Limited time offer! Get 50% off on all products. Shop now!,1
"Dear customer, your account has been suspended. Please verify your information to reactivate your account.",1
"Hey, are we still on for dinner tonight? Let me know if you need to reschedule.",0
You have received a new voicemail. Click here to listen to your message.,1
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,0
Earn money from home! No experience required. Sign up now and start earning today.,1
"Hi team, please find attached the minutes of the last meeting. Let me know if you have any questions.",0
Your package has been shipped and will be delivered by tomorrow. Track your order here.,0
